2023-04-16 13:41:33,519 INFO    MainThread:22980 [wandb_setup.py:_flush():76] Configure stats pid to 22980
2023-04-16 13:41:33,520 INFO    MainThread:22980 [wandb_setup.py:_flush():76] Loading settings from C:\Users\priya\.config\wandb\settings
2023-04-16 13:41:33,520 INFO    MainThread:22980 [wandb_setup.py:_flush():76] Loading settings from c:\CS\CSC561\Git_Src\quotes-generator\GPT-2\wandb\settings
2023-04-16 13:41:33,520 INFO    MainThread:22980 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-16 13:41:33,520 INFO    MainThread:22980 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-16 13:41:33,520 INFO    MainThread:22980 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-04-16 13:41:33,520 INFO    MainThread:22980 [wandb_init.py:_log_setup():507] Logging user logs to c:\CS\CSC561\Git_Src\quotes-generator\GPT-2\wandb\run-20230416_134133-d5cr83id\logs\debug.log
2023-04-16 13:41:33,520 INFO    MainThread:22980 [wandb_init.py:_log_setup():508] Logging internal logs to c:\CS\CSC561\Git_Src\quotes-generator\GPT-2\wandb\run-20230416_134133-d5cr83id\logs\debug-internal.log
2023-04-16 13:41:33,521 INFO    MainThread:22980 [wandb_init.py:init():547] calling init triggers
2023-04-16 13:41:33,521 INFO    MainThread:22980 [wandb_init.py:init():555] wandb.init called with sweep_config: {}
config: {'learning_rate': 2e-05, 'architecture': 'GPT-2', 'dataset': 'Quotes Dataset', 'epochs': 10}
2023-04-16 13:41:33,521 INFO    MainThread:22980 [wandb_init.py:init():572] re-initializing run, found existing run on stack: xxman87a
2023-04-16 13:41:33,522 INFO    MainThread:22980 [wandb_run.py:_finish():1892] finishing run quotes/quotes-generator-project-1/xxman87a
2023-04-16 13:41:33,524 ERROR   MainThread:22980 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2023-04-16 13:41:33,524 INFO    MainThread:22980 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-16 13:41:33,524 INFO    MainThread:22980 [wandb_init.py:_jupyter_teardown():435] cleaning up jupyter logic
2023-04-16 13:41:33,524 INFO    MainThread:22980 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-16 13:41:33,524 INFO    MainThread:22980 [wandb_run.py:_restore():2109] restore
2023-04-16 13:41:33,524 INFO    MainThread:22980 [wandb_run.py:_restore():2115] restore done
2023-04-16 13:41:37,706 INFO    MainThread:22980 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-16 13:41:37,706 INFO    MainThread:22980 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-16 13:41:37,711 INFO    MainThread:22980 [wandb_run.py:_footer_sync_info():3434] logging synced files
2023-04-16 13:41:37,859 INFO    MainThread:22980 [wandb_init.py:init():595] starting backend
2023-04-16 13:41:37,859 INFO    MainThread:22980 [wandb_init.py:init():599] setting up manager
2023-04-16 13:41:37,863 INFO    MainThread:22980 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=spawn, using: spawn
2023-04-16 13:41:37,866 INFO    MainThread:22980 [wandb_init.py:init():605] backend started and connected
2023-04-16 13:41:37,869 INFO    MainThread:22980 [wandb_run.py:_label_probe_notebook():1237] probe notebook
2023-04-16 13:41:37,869 INFO    MainThread:22980 [wandb_run.py:_label_probe_notebook():1247] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-04-16 13:41:37,869 INFO    MainThread:22980 [wandb_init.py:init():695] updated telemetry
2023-04-16 13:41:37,924 INFO    MainThread:22980 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-16 13:41:39,026 INFO    MainThread:22980 [wandb_run.py:_on_init():2176] communicating current version
2023-04-16 13:41:39,223 INFO    MainThread:22980 [wandb_run.py:_on_init():2185] got version response 
2023-04-16 13:41:39,223 INFO    MainThread:22980 [wandb_init.py:init():782] starting run threads in backend
2023-04-16 13:41:43,860 INFO    MainThread:22980 [wandb_run.py:_console_start():2157] atexit reg
2023-04-16 13:41:43,860 INFO    MainThread:22980 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-16 13:41:43,860 INFO    MainThread:22980 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-16 13:41:43,860 INFO    MainThread:22980 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-16 13:41:43,861 INFO    MainThread:22980 [wandb_init.py:init():824] run started, returning control to user process
2023-04-16 14:09:34,695 INFO    MainThread:22980 [wandb_run.py:_finish():1892] finishing run quotes/quotes-generator-project-1/d5cr83id
2023-04-16 14:09:34,695 INFO    MainThread:22980 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-16 14:09:34,695 INFO    MainThread:22980 [wandb_run.py:_restore():2109] restore
2023-04-16 14:09:34,696 INFO    MainThread:22980 [wandb_run.py:_restore():2115] restore done
2023-04-16 14:09:38,795 INFO    MainThread:22980 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-16 14:09:38,795 INFO    MainThread:22980 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-16 14:09:38,801 INFO    MainThread:22980 [wandb_run.py:_footer_sync_info():3434] logging synced files
