why is love intensified by absence? | love, yearning
how we need another soul to cling to, another body to keep us warm. to rest and trust; to give your soul in confidence: i need this, i need someone to pour myself into. | love, yearning
there is only one page left to write on. i will fill it with words of only one syllable. i love. i have loved. i will love. | love
when you need to be loved, you take love wherever you can find it. when you are desperate to be loved, feel love, know love, you seek out what you think love should look like. when you find love, or what you think love is, you will lie, kill, and steal to keep it. but learning about real love comes from within. it cannot be given. it cannot be taken away. it grows from your ability to re-create within yourself, the essence of loving experiences you have had in your life. | love
you made me feel alive again. | life, love
fight for the only thing she knew was good enough, noble enough, powerful enough to be worth risking everything... love. | love
everything with me is either worship and passion or pity and understanding. i hate rarely, though when i hate, i hate murderously. for example now, i hate the bank and everything connected with it. i also hate dutch paintings, penis-sucking, parties, and cold rainy weather. but i am much more preoccupied with loving. | fellatio, hate, hatred, love, oral-sex, penis-sucking
millions of people are suffering: they want to be loved but they don't know how to love. and love cannot exist as a monologue; it is a dialogue, a very harmonious dialogue.  | love
my mother says that pain is hidden in everyone you see. she says try to imagine it like big bunches of flowers that everyone is carrying around with them. think of your pain like a big bunch of red roses, a beautiful thorn necklace. everyone has one. | frida-kahlo, love, pain
i’m sort of… coming off a bad relationship”“when did it end?”“slightly before it started. | life, love
in love there are two things - bodies and words.  | love
love cannot be reduced to a catalogue of reasons why, and a catalogue of reasons cannot be put together into love. | love
celia, wait,” marco says, standing but not moving closer to her. “you are breaking my heart. you told me once that i reminded you of your father. that you never wanted to suffer the way your mother did for him, but you are doing exactly that to me. you keep leaving me. you leave me longing for you again and again when i would give anything for you to stay, and it is killing me.” “it has to kill one of us,” celia says quietly. | celia, love, marco
that's when you know for sure somebody loves you. they figure out what you need and they give it to you -- without you asking. | love, romance
what are you doing?”“kneeling before a goddess.”“i’m not a goddess.”“you are. a goddess, a princess, a queen. as a soldier, i pledge myself to your service. as a prince, i grant you any boon within my power. as a man, i ask to sit at your feet and worship you. ask me to do anything for you and i will do it. | love, romance
who are you to judge the life i live?i know i'm not perfect-and i don't live to be-but before you start pointing fingers...make sure you hands are clean! | judge, life, live, perfection
"aelin took a step forward. one step, as if in a daze.she loosed a shuddering breath, and a small, whimpering noise came out of her - a sob. and then she was sprinting down the alley, flying as though the winds themselves pushed at her heels.she flung herself on the male, crashing into him hard enough that anyone else might have gone rocking back into the stone wall. but the male grabbed her to him, his massive arms wrapping around her tightly and lifting her up. nesryn made to approach, but aedion stopped her with a hand on her arm.aelin was laughing as she cried, and the male was just holding her, his hooded head buried in her neck. as if he were breathing her in.""who is that?"" nesryn asked.aedion smiled. ""rowan. | aedion-ashryver, aelin-ashryver-galathynius, love, queen-of-shadows, rowan-whitethorn, throne-of-glass"
i have so much in me, and the feeling for her absorbs it all; i have so much, and without her it all comes to nothing. | love, sadness, waste
i could not tell you if i loved you the first moment i saw you, or if it was the second or third or fourth. but i remember the first moment i looked at you walking toward me and realized that somehow the rest of the world seemed to vanish when i was with you. | devotion, love, love-at-first-sight, true-love
love all, trust a few, do wrong to none. | do-wrong, love, trust, wrong
do not go where the path may lead, go instead where there is no path and leave a trail. | inspirational, life
i like not only to be loved, but also to be told that i am loved. i am not sure that you are of the same mind. but the realm of silence is large enough beyond the grave. this is the world of light and speech, and i shall take leave to tell you that you are very dear. | love
haven't i? - he thought. haven't i thought of it since the first time i saw you? haven't i thought of nothing else for two years? ...he sat motionless, looking at her. he heard the words he had never allowed himself to form, the words he had felt, known, yet had not faced, had hoped to destroy by never letting them be said within his own mind. now it was as sudden and shocking as if he were saying it to her ...since the first time i saw you ...nothing but your body, that mouth of yours, and the way your eyes would look at me, if ...through every sentence i ever said to you, through every conference you thought so safe, through the importance of all the issues we discussed ...you trusted me, didn't you? to recognize your greatness? to think of you as you deserved - as if you were a man? ...don't you suppose i know how much i've betrayed? the only bright encounter of my life - the only person i respected - the best business man i know - my ally - my partner in a desperate battle ...the lowest of all desires - as my answer to the highest i've met ...do you know what i am? i thought of it, because it should have been unthinkable. for that degrading need, which would never touch you, i have never wanted anyone but you ...i hadn't known what it was like, to want it, until i saw you for the first time. i had thought : not i, i couldn't be broken by it ...since then ...for two years ...with not a moments respite ...do you know what it's like, to want it? would you wish to hear what i thought when i looked at you ...when i lay awake at night ...when i hear your voice over a telephone wire ...when i worked, but could not drive it away? ...to bring you down to things you cant conceive - and to know that it's i who have done it. to reduce you to a body, to teach you an animal's pleasure, to see you need it, to see you asking me for it, to see your wonderful spirit dependent on the upon the obscenity of your need. to watch you as you are, as you face the world with your clean, proud strength - then to see you, in my bed, submitting to any infamous whim i may devise, to any act which i'll preform for the sole purpose of watching your dishonor and to which you'll submit for the sake of an unspeakable sensation ...i want you - and may i be damned for it! | love, passion, sex
knees suddenly weak, she reached for his forearms to stabilize herself. “you came for me.”he beamed, looking for all the world like a selfless, daring hero.“don’t sound so surprised.” dropping the cane, he pulled her into a crushing embrace that tore her away from wolf and lifted her clean off the floor. “it turns out you are worth a lot of money on the black market. | carswell, cress, humor, love, moment, thorne
the library smells like old books — a thousand leather doorways into other worlds. i hear silence, like the mind of god. i feel a presence in the empty chair beside me. the librarian watches me suspiciously. but the library is a sacred place, and i sit with the patron saint of readers. pulsing goddess light moves through me for one moment like a glimpse of eternity instantly forgotten. she is gone. i smell mold, i hear the clock ticking, i see an empty chair. ask me now and i'll say this is just a place where you can't play music or eat. she's gone. the library sucks. | inspirational, love
i love him wholly and unconditionally and without reservation. i love him enough to sacrifice a friendship. i love him enough to accept my own happiness and use it, in turn, to make him happy back. | love
love is heavy and light, bright and dark, hot and cold, sick and healthy, asleep and awake- its everything except what it is! (act 1, scene 1) | love, poetry
nobody ever gets what they want when it comes to love. | disappointment, love, melancholy
but why, why, why can't people just say what they mean? | confusion, love, relationships, the-rosie-project
i love you,' buttercup said. 'i know this must come as something of a surprise to you, since all i've ever done is scorn you and degrade you and taunt you, but i have loved you for several hours now, and every second, more. i thought an hour ago that i loved you more than any woman has ever loved a man, but a half hour after that i knew that what i felt before was nothing compared to what i felt then. but ten minutes after that, i understood that my previous love was a puddle compared to the high seas before a storm. your eyes are like that, did you know? well they are. how many minutes ago was i? twenty? had i brought my feelings up to then? it doesn't matter.' buttercup still could not look at him. the sun was rising behind her now; she could feel the heat on her back, and it gave her courage. 'i love you so much more now than twenty minutes ago that there cannot be comparison. i love you so much more now then when you opened your hovel door, there cannot be comparison. there is no room in my body for anything but you. my arms love you, my ears adore you, my knees shake with blind affection. my mind begs you to ask it something so it can obey. do you want me to follow you for the rest of your days? i will do that. do you want me to crawl? i will crawl. i will be quiet for you or sing for you, or if you are hungry, let me bring you food, or if you have thirst and nothing will quench it but arabian wine, i will go to araby, even though it is across the world, and bring a bottle back for your lunch. anything there is that i can do for you, i will do for you; anything there is that i cannot do, i will learn to do. i know i cannot compete with the countess in skills or wisdom or appeal, and i saw the way she looked at you. and i saw the way you looked at her. but remember, please, that she is old and has other interests, while i am seventeen and for me there is only you. dearest westley--i've never called you that before, have i?--westley, westley, westley, westley, westley,--darling westley, adored westley, sweet perfect westley, whisper that i have a chance to win your love.' and with that, she dared the bravest thing she'd ever done; she looked right into his eyes. | love
"name one hero who was happy.""i considered. heracles went mad and killed his family; theseus lost his bride and father; jason's children and new wife were murdered by his old; bellerophon killed the chimera but was crippled by the fall from pegasus' back.""you can't."" he was sitting up now, leaning forward.""i can't.""""i know. they never let you be famous and happy."" he lifted an eyebrow. ""i'll tell you a secret.""""tell me."" i loved it when he was like this.""i'm going to be the first."" he took my palm and held it to his. ""swear it.""""why me?""""because you're the reason. swear it.""""i swear it,"" i said, lost in the high color of his cheeks, the flame in his eyes.""i swear it,"" he echoed.we sat like that a moment, hands touching. he grinned.""i feel like i could eat the world raw. | fame, happiness, heroes, love, mythology, oaths"
it was the first time i was ever in love, and i learned a lot. before that i'd never even thought about killing myself. | humor, love
it's delicious to have people adore you, but it's exhausting, too. particularly when your own feelings don't match theirs. | adore, love, unrequited-love
you are my whole heart, scarlet. and this is breaking it.'my heart cracked open and clear dropped out of me. my mouth opened, and i looked round me and stamped my foot. 'does this look like a good time to tell me that, you damn stupid boy?' i meant to sound mean but my voice wobbled. 'now?'he gave a little smile. 'my foul-mouthed warrior. | humor, love, spoiler
there's no need to wait for the bad things and bullshit to be over. change now. love now. live now. don't wait for people to give you permission to live, because they won't. | life, life-lessons, love
"what would you do if i kissed you right now?""i stared at his beautiful face and his beautiful mouth and i wanted nothing more than to taste it. ""i would kiss you back. | beautiful, couples, hot, kiss, love, mara-dyer, noah-shaw, ya"
i am running after you, and life, in desperate pursuit. my dream is that someday you will both turn and let me catch you. that dream carries me through every night... i have enclosed a hundred kisses in this letter. you must count them out carefully and not lose any. | letter, longing, love, romance
remember that the best relationship is one in which your love for each other exceeds your need for each other. | love
i wanted him. i arched my back, fully aware of how vulnerable that made me and that i was giving him an invitation. he accepted it and laid me back against the table, bringing his body down on top of mine. that crushing kiss of his moved from my mouth to the nape of my neck. he pushed down the edge of my dress and the bra strap underneath, exposing my shoulder and giving his lips more skin to conquer. | adrian-ivashkov, love, sydney-sage
i desire to be with you. i miss you. i feel lonely when i can't see you. i am obsessed with you, fascinated by you, infatuated with you. i hunger for your taste, your smell, the feel of your soul touching mine. | desire, gay, love, m-m, male-male, obsession
is it possible not to ever know your type-not to even know you have a type-until quite suddenly you do? | love
that’s love: two lonely persons keep each other safe and touch each other and talk to each other. | loneliness, love
when forever becomes a place...when forever ceases to be just a word… when it ceases to be just a measurement of time…but instead becomes a place where soul mates can dance to the song in their hearts... that is a reflection of true love. | action, forever, hearts, inspirational, life, love, relationships, true-love
she wanted to lose herself in him. to tie his arms around her like a tourniquet.if she showed him how much she needed him, he'd run away. | despair, fear, love, need
"wait a second,"" four says. i turn toward him, wondering which version of four i'll see now-the one who scolds me, or the one who climbs ferris wheels with me. he smiles a little, but the smile doesn't spread to his eyes, which look less tense and worried.""you belong here, you know that?"" he says. ""you belong with us. it'll be over soon, so just hold on, okay?""he scratches behind his ear and looks away, like he's embarrassed by what he said. i stare at him. i feel my heartbeat everywhere, even in my toes. i feel like doing something bold, but i could just as easily walk away. i am not sure which option is smarter, or better. i am not sure that i care.i reach out and take his hand. his fingers slide between mine. i can't breathe. i stare up at him, and he stares down at me. for a long moment, we stay that way. then i pull my hand away and run after uriah and lynn and marlene. maybe now he thinks i'm stupid, or strange. maybe it was worth it. | happiness, love, truth"
don't worry about hurting me, if that's what you're afraid of. i want to get hurt. at least i´ll feel something for a change. | hurting, love, relationships
to live is the rarest thing in the world. most people exist, that is all. | life
if only she could be so oblivious again, to feel such love without knowing it, mistaking it for laughter.  | childhood, laughter, love, oblivious
in this part of the story i am the one whodies, the only one, and i will die of love because i love you,because i love you, love, in fire and in blood. | devotion, love
the capacity to be alone is the capacity to love. it may look paradoxical to you, but it's not. it is an existential truth: only those people who are capable of being alone are capable of love, of sharing, of going into the deepest core of another person--without possessing the other, without becoming dependent on the other, without reducing the other to a thing, and without becoming addicted to the other. they allow the other absolute freedom, because they know that if the other leaves, they will be as happy as they are now. their happiness cannot be taken by the other, because it is not given by the other. | capacity-to-be-alone, choices, happiness, love
he felt now that he was not simply close to her, but that he did not know where he ended and she began. | closeness, love, soul-mate
the more one judges, the less one loves. | human-nature, love
"dante laughed. ""no cold soup, no goat cheese. i'll make a mental note. and no gottfried curse.""""and for you it's no food at all. no sleep. and no tunnels.""""i'm low maintenance.""""is that what you are? because i've been trying to figure it out all semester.""""and what have you concluded?""""a mutant. a rare disease. a creature from the inferno. dante.""""and what if you found out you were right?"" he asked. ""what if it meant that i could hurt you?""""i would say that i'm not scared. everyone has the ability to hurt. it's the choice that matters. | choices, hurt, love, pain"
if they put an iron circle around your neck i will bite it away | love
even if they end up together, which i highly doubt, given the strength of that particular bond-...-but even if schuyler still loves him, or thinks she does, it doesn't matter. because jack is going to leave her one day. i know he will. he's too much for schuyler. they're wrong for each other. anyone can see that. and when he leaves her, i'll be there. however long it takes, i'll still be there for her. waiting. | love, loyalty
those who cannot conceive friendship as a substantive love but only as a disguise or elaboration of eros betray the fact that they have never had a friend. the rest of us know that though we can have erotic love and friendship for the same person yet in some ways nothing is less like a friendship than a love-affair. lovers are always talking to one another about their love; friends hardly ever about their friendship. lovers are normally face to face, absorbed in each other; friends, side by side, absorbed in some common interest. above all, eros (while it lasts) is necessarily between two only. but two, far from being the necessary number for friendship, is not even the best. and the reason for this is important.... in each of my friends there is something that only some other friend can fully bring out. by myself i am not large enough to call the whole man into activity; i want other lights than my own to show all his facets... hence true friendship is the least jealous of loves. two friends delight to be joined by a third, and three by a fourth, if only the newcomer is qualified to become a real friend. they can then say, as the blessed souls say in dante, 'here comes one who will augment our loves.' for in this love 'to divide is not to take away. | friendship, love
it is the possibility that keeps me going, and though you may call me a dreamer or a fool or any other thing, i believe that anything is possible. | inspirational, love, optimism, possibilities
you think i'm prettywithout any make-up onyou think i'm funnywhen i tell the puch line wrongi know you get meso i'll let my walls come down, down | love, makeup, thoughts
but you're the only one, scarlet. you'll always be the only one. | love, lunar-chronicles, scarlet, wolf
"albus severus,"" harry said quietly, so that nobody but ginny could hear, and she was tactful enough to pretend to be waving to rose, who was now on the train, ""you were named for two headmasters of hogwarts. one of them was a slytherin and he was probably the bravest man i ever knew. | life"
"but i have to confess, i'm glad you two had at least a few months of happiness together.""i'm not glad,"" says peeta. ""i wish we had waited until the whole thing was done officially.""this takes even caesar aback. ""surely even a brief time is better than no time?""maybe i'd think that, too, caesar,"" says peeta bitterly, ""if it weren't for the baby. | heart-stopping, love"
but many of us seek community solely to escape the fear of being alone. knowing how to be solitary is central to the art of loving. when we can be alone, we can be with others without using them as a means of escape. | aloneness, community, escape, fear, loneliness, love, relationship, solitude
he who is in love is wise and is becoming wiser, sees newly every time he looks at the object beloved, drawing from it with his eyes and his mind those virtues which it possesses. | love
he made a sound like a choked laughed before he reached out and pulled her into her arms. she was aware of luke watching them from the window, but she shut her eyes resolutely and buried her face against jace's shoulder. he smelled of salt and blood, and only when his mouth came close to her ear did she understand what he was saying, and it was the simplest litany of all: her name, just her name. | ardor, city-of-bones, clary-fray, jace-wayland, love
love is an abstract noun, something nebulous. and yet love turns out to be the only part of us that is solid, as the world turns upside down and the screen goes black. | love
she blushed and so did he. she greeted him in a faltering voice, and he spoke to her without knowing what he was saying. | crush, love
i love you with so much of my heart that none is left to protest. | love, shakespeare
that's what people do who love you. they put their arms around you and love you when you're not so lovable. | family, friends, hugs, life, lovable, love, people
you might as well make yourself fly as to make yourself love. | fly, love, marilyn-monroe, my-story
how 'bout a shot of truth in that denial cocktail. | denial, hate, lies, love, sarcasm, truth
no human should mislead another by promising them something they know to be untrue. | inspiration, life, love, truth
percy pulled annabeth close and kissed her...long enough for it to get really awkward for piper, though she said nothing. she thought about the old rule of aphrodite's cabin: that to be recognized as a daughter of the love goddess, you had to break someone's heart. piper had long ago decided to change that rule. percy and annabeth were a perfect example of why. you should have to make someone`s heart whole; that was a much better test. | annabeth, aphrodite, awww, love, percabeth, percy-jackson, piper-mclean
what about when someone doesn't need a shoulder? what if they need the arms? | love, romance
because...because...she came here with me. | katniss-everdeen, love, peeta-mellark, the-hunger-games
my heart only ever had one thought, one want. one need. despite all, in spite of all...all my heart has ever wanted is you. | adoration, dream, longing, love, need, romance, yearning
you know quite well, deep within you, that there is only a single magic, a single power, a single salvation...and that is called loving. well, then, love your suffering. do not resist it, do not flee from it. it is your aversion that hurts, nothing else. | love
you can't hurt me the way you think you can. but even if you could? i would rather die with the taste of you on my tongue than live and never touch you again. i'm in love with you, mara. i love you. no matter what you do. | consequences, hurt, live, love, taste
"how many times have you tried to talk to someone about something that matters to you, tried to get them to see it the way you do? and how many of those times have ended with you feeling bitter, resenting them for making you feel like your pain doesn't have any substance after all?like when you've split up with someone, and you try to communicate the way you feel, because you need to say the words, need to feel that somebody understands just how pissed off and frightened you feel. the problem is, they never do. ""plenty more fish in the sea,"" they'll say, or ""you're better off without them,"" or ""do you want some of these potato chips?"" they never really understand, because they haven't been there, every day, every hour. they don't know the way things have been, the way that it's made you, the way it has structured your world. they'll never realise that someone who makes you feel bad may be the person you need most in the world. they don't understand the history, the background, don't know the pillars of memory that hold you up. ultimately, they don't know you well enough, and they never can. everyone's alone in their world, because everybody's life is different. you can send people letters, and show them photos, but they can never come to visit where you live.unless you love them. and then they can burn it down. | life, love, only-forward, reality"
"i'll tell you something, harpy,"" he said, his voice almost a whisper now. ""it never even occurred to me that we wouldn't make it. and it never occurred to you that we would. you were just waiting for us to go down in flames. i thought we could get through anything. | breakup, divorce, heartbreak, love, romance, sad"
had i been in love, i could not have been more wretchedly blind. but vanity, not love, has been my folly. | affection, blindness, denial, folly, love, refusal, romance, vanity
if you love something let it go.. if it comes back its yours | love
and think not you can direct the course of love, for love, if it finds you worthy, directs your course. | love, poetry
love, they say, enslaves and passion is a demon and many have been lost for love. i know this is true, but i know too that without love we grope the tunnels of our lives and never see the sun. when i fell in love it was as though i looked into a mirror for the first time and saw myself. i lifted my hand in bewilderment and felt my cheeks, my neck. this was me. and when i had looked at myself and grown accustomed to who i was, i was not afraid to hate parts of me because i wanted to be worthy of the mirror bearer. | love
i won't telephone him. i'll never telephone him again as long as i live. he'll rot in hell, before i'll call him up. you don't have to give me strength, god; i have it myself. if he wanted me, he could get me. he knows where i am. he knows i'm waiting here. he's so sure of me, so sure. i wonder why they hate you, as soon as they are sure of you. | calling, love, men, relationships
it's funny how you can forget everything except people loving you. maybe that's why humans find it so hard getting over love affairs. it's not the pain they're getting over, it's the love. | love
"i have done it,"" she says. at first i do not understand. but then i see the tomb, and the marks she has made on the stone. a c h i l l e s, it reads. and beside it, p a t r o c l u s.""go,"" she says. ""he waits for you.""in the darkness, two shadows, reaching through the hopeless, heavy dusk. their hands meet, and light spills in a flood like a hundred golden urns pouring out of the sun. | achilles, afterlife, death, greek-mythology, grief, love, mythology, patroclus"
want to keep christ in christmas? feed the hungry, clothe the naked, forgive the guilty, welcome the unwanted, care for the ill, love your enemies, and do unto others as you would have done unto you. | care, christ, christianity, christmas, clothe, enemies, feed, forgive, golden-rule, guilty, hungry, ill, inspirational, jesus, life, love, motivational, naked, service, unwanted, welcome
when you leave,weary of me,without a word i shall gently let you go. | azaleas, heartache, heartbreak, korean-poetry, letting-go, love
you know i'm old in some ways-in others-well, i'm just a little girl. i like sunshine and pretty things and cheerfulness-and i dread responsibility. | love
i don't think you can define love. | cute, harry-styles, love, one-direction
"you know,"" he said, ""under normal circumstances, you inviting me to the bedroom would be the highlight of my day.""i jumped up. | adrian-ivashkov, bloodlines, cute, love, richelle-mead, sydney-sage, sydrian, the-indigo-spell"
i love you more than songs can say, but i can't keep running after yesterday... | goodbye, love
let me wake up next to you, have coffee in the morning and wander through the city with your hand in mine, and i'll be happy for the rest of my fucked up little life. | coffee, happy, london, love, morning, simple-living, wander
remember how it was when we kissed? armfuls and armfuls of light thrown right at us. a rope dropping down from the sky. how can the word love and the word life even fit in the mouth? | life, love, words
it was stupid to hope, she knew. but sometimes hope was all you had. | hope, inspirational, love, romantic
faith is why i'm here today and faith is why i made it through. | 2013, child-abuse, determined, faith, hard-times, hate, life-quotes, love, money, music, neglect, struggle
some people feel love in their hearts, julie. some of us feel it all way into our souls. we're the ones who can't forget. | endless-love, love
part of falling in love with someone is actually falling in love with yourself. realizing that you're gorgeous, you're fearless and unpredictable, you're a firecracker spitting light, entrancing a hundred faces that stare up at you with starry eyes. | love
then she did something so unexpected nico would later think he dreamed it. she walked up to nico, who was standing to one side in the shadows, as usual. she grabbed his hand and pulled him gently into the firelight. ‘we had one home,’ she said. ‘now we have two.’ she gave nico a big hug and the crowd roared with approval. for once, nico didn’t feel like pulling away. he buried his face in reyna’s shoulder and blinked the tears out of his eyes. | family, love, nico-di-angelo, reyna
when love has fused and mingled two beings in a sacred and angelic unity, the secret of life has been discovered so far as they are concerned; they are no longer anything more than the two boundaries of the same destiny; they are no longer anything but the two wings of the same spirit. love, soar. | love
be the reason someone smiles. be the reason someone feels loved and believes in the goodness in people. | being-human, goodness, human, human-nature, humanism, humanity, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quote, inspirational-quotes, inspire, inspiring, kindness, life, life-and-living, life-lessons, life-philosophy, life-quotes, living, love, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, smile, smiles
for which of my bad parts didst thou first fall in love with me? | love
every one of us is, in the cosmic perspective, precious. if a human disagrees with you, let him live. in a hundred billion galaxies, you will not find another. | humanity, individuality, love, mercy
i felt overwhelmed. i didn’t expect a first kiss to be so…life altering. in a few brief moments, the rule book of my universe had been rewritten. suddenly i was a brand new person. i was as fragile as a newborn, but instead of the doctor placing me in my mother’s arms, he’d put me in ren’s. what would ren do with me? would he draw me near, soothe me, and teach me about this new world or would he reject me and tell the doctor there must be some mistake. there was no way to know. what a breakable and delicate thing a heart was, no wonder i’d kept mine locked away. | love, romance
what i need is the dandelion in the spring. the bright yellow that means rebirth instead of destruction. the promise that life can go on, no matter how bad our losses. that it can be good again. | inspirational, love
when what you want is a relationship, and not a person, get a dog. | companionship, dog, love, relationship, romance, truth
to me, fearless is not the absense of fear. it's not being completely unafraid. to me, fearless is having fears. fearless is having doubts. lots of them. to me, fearless is living in spite of those things that scare you to death. | fearless, inspirational, love
i’ve been fighting to be who i am all my life. what’s the point of being who i am, if i can’t have the person who was worth all the fighting for? | fighting, funny, humour, husband, inspirational, love, lover, relationships, romance, spiritual, sweet, wife
